empty_slots,free_bikes,total_slots,name,latitude,longitude,difference_in_m_from_center,category_name,distance,rating
18.0,4.0,22.0,4023 - PONT MASARYK,45.778175,4.810716,4083.340271664584,,,
18.0,4.0,22.0,6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,45.78458,4.859664,4205.267333001905,,,
3.0,15.0,18.0,16002 - VÉNISSIEUX - LÉVY / VIENNE,45.719399,4.854681,4213.8119969692325,,,
7.0,9.0,16.0,3086 - FEUILLAT / LACASSAGNE,45.749563,4.875934,4233.290759246873,,,
14.0,1.0,15.0,11004 - CALUIRE - BRANLY / PASTEUR,45.79169,4.843452,4282.069263531845,,,
9.0,15.0,24.0,10028 - ECOLE DE MUSIQUE,45.767467,4.874032,4289.5175736058,,,
8.0,8.0,16.0,9003 - PLACE VALMY,45.775679,4.805314,4384.545856810464,,,
1.0,14.0,15.0,10120 - SALENGRO / DESCARTES,45.776239,4.871634,4506.529020955478,,,
,,,,45.785575,4.812636,4538.98818998684,French Restaurant,4058.0,8.1
20.0,0.0,20.0,9013 - QUAI PAUL SÉDALLIAN,45.787522,4.814418,4594.927029863294,,,
4.0,16.0,20.0,9043 - MARIETTON OUEST,45.776087,4.799725,4933.1329698550935,,,
3.0,1.0,4.0,10011 - GRATTE-CIEL,45.769226,4.880491,5029.160185000809,,,
,,,,45.798256,4.829833,5049.950367619922,Bakery,5004.0,8.6
5.0,13.0,18.0,8061 - STADE VUILLERMET,45.725403,4.881292,5728.760083127486,,,
16.0,6.0,22.0,10113 - GARE DE VILLEURBANNE,45.755768,4.891542,5948.491541033602,,,
8.0,8.0,16.0,10091 - CHÂTEAU GAILLARD / FORT,45.774754,4.887977,6028.263808713473,,,
,,,,45.815712,4.847452,6984.778742995419,French Restaurant,6940.0,8.1
16.0,5.0,21.0,10122 - VERDUN / DESGRAND,45.784023,4.897102,7383.544397813944,,,
6.0,14.0,20.0,15002 - ST PRIEST - CITE BERLIET,45.70597,4.900886,8749.834996650956,,,
,,,,45.837487,4.826422,9410.72261323295,Art Museum,9366.0,8.2
15.0,0.0,15.0,12003 - VAULX - BIBLIOTHEQUE,45.757092,4.92731,9921.424750863369,,,
12.0,5.0,17.0,32001 - COUZON - CENTRE,45.846034,4.832409,10290.005596902181,,,
,,,,45.799594,4.934664,11887.154613445859,Park,9087.0,8.3
,,,,45.872851,4.770494,15220.249911255105,Fast Food Restaurant,14243.0,8.0
,,,,45.765234,4.981836,16018.835177199751,Athletic Field,11238.0,8.9
,,,,45.52908,4.870463,25169.891336612087,Museum,25061.0,8.4
,,,,45.524938,4.878725,25769.962690147033,Concert Hall,25608.0,8.5
,,,,45.549991,4.583793,36145.307525176075,Zoo,30022.0,8.4
,,,,45.903388,5.179242,41370.77590093833,Historic and Protected Site,31246.0,8.8
,,,,45.590224,5.276562,51944.64143226358,Pub,38578.0,8.2
